#OTU ID,SRR30326224,SRR30326225,SRR30326226,SRR30326227,SRR30326228,SRR30326229
8b45b3a12029f220ce391ae7fba9d993,121.0,0.0,650.0,0.0,120.0,68.0
c8a6aa815c5405bec4bfffe685e4121a,5.0,0.0,0.0,0.0,0.0,0.0
afa1e591ea0a678c2d8f30191f6e35e8,0.0,0.0,99.0,82.0,220.0,138.0
97f4682477c5c5ed648e7b587efff721,3.0,0.0,0.0,0.0,0.0,0.0
a4956c61efd3e9e7297b493cc9ecf65d,3.0,0.0,0.0,0.0,0.0,0.0
4963b7b9b0af75de08d0877e0d0eeac2,128.0,0.0,0.0,255.0,0.0,120.0
145c9c29e249bbe44c4eea9952e695bf,2.0,0.0,0.0,0.0,0.0,0.0
1ba1d78da63ec72f8a4d1107cfc7f95c,0.0,0.0,0.0,102.0,32.0,68.0
4da7ee6b2c55cff8f33ca6cebca31462,0.0,0.0,0.0,2.0,0.0,0.0
3a7520e02d3aa9af19179d3d3aaa76d8,0.0,25.0,0.0,0.0,0.0,0.0
b7672925c003432f5cf6d7faef7ca86f,5.0,0.0,0.0,0.0,0.0,0.0
9d05a2af91f4c1c459e22211070a7942,9.0,0.0,0.0,0.0,0.0,0.0
2a9b668dca2eaa7e72d07b9595135c41,0.0,0.0,2.0,0.0,0.0,0.0
0a0301cb132d31bad2d791b3f08c6b87,0.0,42.0,0.0,0.0,0.0,0.0
9e6578d347af78fe9b6c59b65a01c9d6,0.0,0.0,0.0,20.0,0.0,0.0
2148f1f55759c78ab766f0b2ecac6e05,0.0,0.0,0.0,13.0,0.0,0.0
b63de99404f3e838e674bba0eef0b39c,3.0,0.0,0.0,0.0,0.0,0.0
d8fd66d8c6f48d96a59572384e02e025,12.0,0.0,0.0,0.0,0.0,0.0
a99a192ad1f26870edf26a71e9e34c71,4.0,0.0,0.0,0.0,0.0,0.0
5efec28250960310943026e135d06c6b,0.0,0.0,4.0,0.0,0.0,0.0
cf590cd712b1a39741760fa4cf37ae05,0.0,0.0,0.0,4.0,0.0,0.0
9b42104fa6de0b9633f53e4f2cc98be5,0.0,0.0,0.0,3.0,0.0,0.0
ba655c09733263f6b2380d074857c09e,0.0,0.0,0.0,19.0,0.0,0.0
a2b0d3ec582b710e8ec6d4ed30422285,0.0,0.0,0.0,4.0,0.0,0.0
319c10dccaefbbdf438d641bd1a69785,0.0,0.0,0.0,65.0,0.0,0.0
5532a8853fbcce228f009beaec297710,0.0,0.0,0.0,0.0,59.0,0.0
892225217ae6199465e3338c337daca1,10.0,0.0,0.0,0.0,0.0,0.0
16ecdcd8deb3fda08ea44a60906a45f9,0.0,0.0,0.0,0.0,313.0,0.0
9628e90a0b0fe41cad01b26d88e911a2,0.0,0.0,4.0,0.0,0.0,0.0
ffd4d886ae69aa646871c73dcb7c0191,0.0,0.0,0.0,62.0,0.0,0.0
73dc2d0611226fbc9d5cdb1bf0d693d5,0.0,4.0,0.0,0.0,0.0,0.0
14c77b307353017ffe8fadcfb3cc23ec,0.0,3.0,0.0,0.0,0.0,0.0
4055f43a0e83d234843fe8a292286958,0.0,0.0,0.0,0.0,0.0,31.0
7ad6b1b2fb6017c53d11f533b1c5c4e0,4.0,0.0,0.0,0.0,0.0,0.0
21cd475c881741554858dbb11ad48814,0.0,17.0,0.0,0.0,0.0,0.0
e6b2055385bbf52a76cfe799601b4e4b,0.0,0.0,0.0,19.0,0.0,0.0
ea24c243122830f642cd30c315a1e774,0.0,0.0,4.0,0.0,0.0,0.0
93c6e22aee34e701f7711451ac27ad4e,0.0,0.0,2.0,0.0,0.0,0.0
f597d5d42b612c1573e943eb90271164,124.0,0.0,0.0,0.0,0.0,0.0
84aee0cb275eafc1b4fb66d71afc9cdc,3.0,0.0,0.0,0.0,0.0,0.0
830281d2a75b035451bd50137e1c0cbd,0.0,0.0,0.0,0.0,0.0,2.0
3bfbfdab67f837750bf89b0e8fe7ec95,0.0,0.0,0.0,7.0,0.0,0.0
21193c69f560d56b26768b01882abf61,0.0,0.0,0.0,0.0,4.0,0.0
0377e29d2d2997423bf85a220090791c,0.0,0.0,0.0,24.0,0.0,0.0
bf770bde1e063cf5d3edcbb34089c22c,0.0,0.0,0.0,0.0,3.0,0.0
b0fcaac8662825f6d7cc93becd2bcf28,2.0,0.0,0.0,0.0,0.0,0.0
1b37aec38878306199d0c5020e9e0eec,0.0,0.0,100.0,0.0,0.0,0.0
f338bc0e05069bd3f034c099488f7e07,49.0,0.0,0.0,0.0,0.0,0.0
2180f60cee0e96f89018d92e425187cc,0.0,0.0,0.0,0.0,71.0,0.0
49d5aa49abde5df1c9b3c5e97417710f,0.0,0.0,0.0,0.0,4.0,0.0
235a1fb64229e76f3529d29242ba2beb,0.0,0.0,0.0,0.0,52.0,0.0
b424dc3e099ffdded52db19f8221bcbc,0.0,0.0,0.0,45.0,0.0,0.0
53ad6ec6b885bcd9e39a1faac15d7a80,0.0,0.0,7.0,0.0,0.0,0.0
312fcc4a04f45482227715740354de94,0.0,0.0,0.0,0.0,0.0,97.0
39226424461f0afb474bc2d6478d4efd,0.0,0.0,0.0,1.0,0.0,0.0
2ec3074fd78e4d3e9e0b4b6e95a38e16,0.0,0.0,3.0,0.0,0.0,0.0
c4e37ff753e9090fe40aa147dda1800c,3.0,0.0,0.0,0.0,0.0,0.0
2501e5a775ec2217167381dfa7026cc8,0.0,0.0,3.0,0.0,0.0,0.0
71dd758ecc54d2896fddec3c26735b66,0.0,0.0,5.0,0.0,0.0,0.0
4a30ea531cfe3fe8b01644fe03928700,0.0,0.0,367.0,0.0,0.0,0.0
5192dfdfbe8c3e6e879f57b935eae015,0.0,0.0,0.0,0.0,15.0,0.0
dd3589d8235b7cc9f24d91ca2b441d43,0.0,5.0,0.0,0.0,0.0,0.0
99327d5d1f34d6dfe6f8682c553451be,8.0,0.0,0.0,0.0,0.0,0.0
1120541f795a6e3f8a6b6da3815bf2d9,2.0,0.0,0.0,0.0,0.0,0.0
2b6557a82322e01daa35f2f98defeae8,0.0,2.0,0.0,0.0,0.0,0.0
80da31f3ed7116c4dea4d154d34b7bfa,0.0,0.0,0.0,0.0,0.0,22.0
e3c5b20d4a996dd04cc3372a54e52845,0.0,0.0,83.0,0.0,189.0,0.0
6fa767c0a3b541b5720637e8a9a1e5e6,0.0,0.0,0.0,3.0,0.0,0.0
f623f751a92f84e98ee5fe6544121ccc,0.0,0.0,0.0,0.0,43.0,0.0
c5492201c721de153e9d3858174acfca,0.0,0.0,4.0,0.0,0.0,0.0
f236581b17278fe3e0a1c4dd3c7b8d31,0.0,0.0,7.0,0.0,0.0,0.0
d59e1e40290c9e4f88c1c15ee405a0d0,0.0,0.0,0.0,0.0,3.0,0.0
2d479bc5b27bfb4478c330b7045fa3a3,0.0,0.0,0.0,0.0,42.0,0.0
18ecdffac8e3d569f037b6b8778cfc60,0.0,0.0,0.0,14.0,0.0,0.0
732079451b3f7f3a83684d9757217560,0.0,0.0,2.0,0.0,0.0,0.0
d81747ba4bd8cd9ffde2f39e0ac4d54a,0.0,0.0,0.0,0.0,7.0,0.0
6cb8ac3975f9df80b226148833800cf0,0.0,0.0,3.0,0.0,0.0,0.0
b4bd81f3b33347c49b4474d3d35f2ed1,0.0,0.0,0.0,7.0,0.0,0.0
e9dd0edbcfb0b2f41c7bdb56a890936f,0.0,0.0,0.0,0.0,54.0,0.0
dc0d035071cdf31233614223b6e68124,5.0,0.0,0.0,0.0,0.0,0.0
1d3a47864a067072bff6599c04e8a715,11.0,5.0,6.0,0.0,0.0,1.0
960df7a12871c51dfc627e4ea659359c,0.0,0.0,2.0,0.0,0.0,0.0
727e4c098fd430b34905f179f458b09a,8.0,0.0,0.0,0.0,0.0,0.0
f11d7e28b915817d1979f916e36e12ea,5.0,0.0,0.0,0.0,0.0,0.0
cc2b3c2efd0909644c25f69075951f52,0.0,0.0,0.0,0.0,0.0,3.0
11e68da732fed8d2407f5756e8ff57ee,0.0,12.0,0.0,0.0,0.0,0.0
d27ea68367b1a3024dc260c18f486e29,0.0,0.0,0.0,3.0,0.0,0.0
d0fe974f6f9e03619b75fac8d82dd64a,0.0,0.0,0.0,21.0,0.0,0.0
371394ad0969478af15ddd4ff7582eb6,0.0,2.0,0.0,0.0,0.0,0.0
a5235a16b90f50f840cf6182d097159e,0.0,0.0,0.0,0.0,0.0,4.0
e3672bdb982cbb7603190e6fb6d7bd99,0.0,0.0,0.0,21.0,0.0,0.0
79397f31105c8db623badef8977cd8ab,0.0,0.0,59.0,0.0,0.0,0.0
97bed891aa65974406e55e9c6df01320,0.0,2.0,0.0,0.0,0.0,0.0
f49684a1d9933a13c1df3973c443c67f,0.0,0.0,44.0,0.0,0.0,0.0
f3b33472eca06b8eb5475c3519cc6532,0.0,0.0,2.0,0.0,0.0,0.0
a6904783f4cb8ace32566a0df909817a,25.0,0.0,0.0,0.0,0.0,0.0
